Date,Open,High,Low,Close,Adj Close,Volume
2019-02-11,25.500000,25.500000,25.250000,25.250000,24.240000,21942331
2019-02-12,25.350000,25.450001,25.250000,25.450001,24.432001,17651168
2019-02-13,25.500000,25.500000,25.400000,25.500000,24.480000,15016250
2019-02-14,25.250000,25.500000,25.200001,25.200001,24.191999,14794447
2019-02-15,25.200001,25.350000,25.150000,25.200001,24.191999,11210043
2019-02-18,25.250000,25.350000,25.100000,25.150000,24.143999,7415642
2019-02-19,25.100000,25.150000,24.950001,25.000000,24.000000,9531517
2019-02-20,25.049999,25.200001,25.000000,25.200001,24.191999,13209657
2019-02-21,25.150000,25.250000,25.049999,25.250000,24.240000,11326770
2019-02-22,25.200001,25.250000,25.100000,25.250000,24.240000,9850645
2019-02-25,25.400000,25.400000,25.150000,25.299999,24.287998,12488120
2019-02-26,25.299999,25.500000,25.200001,25.500000,24.480000,19625224
2019-02-27,25.500000,25.500000,25.350000,25.500000,24.480000,18464364
2019-03-04,25.400000,25.500000,25.200001,25.350000,24.336000,21278463
2019-03-05,25.250000,25.400000,25.200001,25.400000,24.383999,17636678
2019-03-06,25.350000,25.350000,25.049999,25.150000,24.143999,20853866
2019-03-07,25.100000,25.200001,24.799999,24.950001,23.952000,20514563
2019-03-08,24.850000,24.900000,24.750000,24.750000,23.760000,12279407
2019-03-11,24.750000,24.850000,24.700001,24.700001,23.712000,10418186
2019-03-12,24.900000,25.100000,24.850000,25.100000,24.096001,11229932
2019-03-13,25.049999,25.049999,24.799999,25.000000,24.000000,10271064
2019-03-14,24.799999,24.900000,24.750000,24.750000,23.760000,11966156
2019-03-15,24.750000,25.049999,24.750000,25.049999,24.047998,18925414
2019-03-18,24.850000,25.049999,24.850000,25.049999,24.047998,6905958
2019-03-19,25.000000,25.049999,24.850000,24.850000,23.855999,7753335
2019-03-20,24.850000,25.049999,24.850000,25.049999,24.047998,8528594
2019-03-21,25.049999,25.049999,24.950001,25.000000,24.000000,6908687
2019-03-22,25.000000,25.100000,24.950001,25.000000,24.000000,7955294
2019-03-25,24.799999,25.000000,24.799999,24.850000,23.855999,6529353
2019-03-26,24.900000,25.000000,24.900000,25.000000,24.000000,6937761
2019-03-27,25.000000,25.049999,25.000000,25.049999,24.047998,6438966
2019-03-28,25.000000,25.049999,24.900000,25.000000,24.000000,9464921
2019-03-29,25.000000,25.299999,24.900000,25.299999,24.287998,15313412
2019-04-01,25.250000,25.250000,25.000000,25.000000,24.000000,13441842
2019-04-02,25.000000,25.049999,24.900000,24.900000,23.903999,14208067
2019-04-03,25.000000,25.100000,24.950001,25.000000,24.000000,7325060
2019-04-08,25.000000,25.100000,25.000000,25.100000,24.096001,9137934
2019-04-09,25.049999,25.200001,25.000000,25.100000,24.096001,10204179
2019-04-10,25.000000,25.250000,25.000000,25.250000,24.240000,13291458
2019-04-11,25.200001,25.200001,25.049999,25.049999,24.047998,7306358
2019-04-12,25.200001,25.200001,25.049999,25.200001,24.191999,8132079
2019-04-15,25.200001,25.200001,25.049999,25.049999,24.047998,7126967
